,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
EPB41L4A-AS1,5.19092550932808e-15,0.407697095682383,0.323,0.223,1.0869798016533e-10,4,EPB41L4A-AS1
SNHG72,9.13774365883484e-15,0.513549060498678,0.346,0.25,1.91344352216002e-10,4,SNHG7
C1QBP,1.52047459971977e-14,0.343758556234336,0.352,0.25,3.18387381181321e-10,4,C1QBP
DGKA,2.88500609074278e-14,0.324214292652876,0.254,0.165,6.04120275401539e-10,4,DGKA
TOMM20,5.74556907984389e-14,0.431824733027848,0.584,0.5,1.20312216531931e-09,4,TOMM20
LSM5,1.47044931576963e-12,0.251195459039808,0.274,0.189,3.0791208672216e-08,4,LSM5
TMPO,1.61450152437674e-12,0.363834552708938,0.363,0.27,3.38076619204489e-08,4,TMPO
PPA11,3.32046428204762e-12,0.397727946581939,0.306,0.219,6.95305220660771e-08,4,PPA1
JPX,3.8308665823845e-12,0.389068647525483,0.295,0.21,8.02183462351313e-08,4,JPX
EIF4B1,6.38418101500577e-12,0.747170070988134,0.577,0.494,1.33684750454221e-07,4,EIF4B
XIST,6.49775368114976e-12,0.872810537536816,0.385,0.291,1.36062962083276e-07,4,XIST
EIF3L,7.17473104666382e-12,0.296371908556611,0.311,0.223,1.5023886811714e-07,4,EIF3L
RNF216,1.16321585955621e-11,0.294527240974765,0.274,0.192,2.4357740099107e-07,4,RNF216
TBCA,1.17824549519778e-10,0.262027161084384,0.399,0.309,2.46724606694415e-06,4,TBCA
SMDT11,2.56288077400315e-10,0.43091136137609,0.552,0.456,5.36667234076259e-06,4,SMDT1
